Category,Dimension,NaiveRAG,LightRAG
agriculture,comprehensiveness,43.43%,56.57%
agriculture,diversity,53.54%,46.46%
agriculture,empowerment,46.46%,53.54%
agriculture,overall,43.43%,56.57%

cs,comprehensiveness,47.50%,52.50%
cs,diversity,45.00%,55.00%
cs,empowerment,47.50%,52.50%
cs,overall,47.50%,52.50%

legal,comprehensiveness,41.43%,58.57%
legal,diversity,47.14%,52.86%
legal,empowerment,42.86%,57.14%
legal,overall,41.43%,58.57%

mix,comprehensiveness,30.00%,70.00%
mix,diversity,58.57%,41.43%
mix,empowerment,34.29%,65.71%
mix,overall,31.43%,68.57%
